,stop_id,stop_name
272,2054,"Kembhathahalli,KEMBATAHALLI,OPPOSITE OF MAHAGANAPATHI TEMPLE"
273,2867,"Magadi Road 10th Cross,Magadi Road,Near Metro Station"
274,4242,White Field TTMC
275,4597,"Bellandru ,BELLANDUR,IN FRONT OF BHAGINI RESTAURANT"
276,1294,"Krishnappa Layout,KRISHNAPPA LAYOUT,IN FRONT OF IYENGARS BAKERY & DURGA PARAMESHWARI CONDIMENTS"
277,1534,"Krishnananda Nagara Mahalakshmi Nagara,J.B.KAVAL, KRISHNANANDA NAGARA, NANDINI LAYOUT,IN FRONT OF LOURDS HIGH SCHOOL"
278,737,"BGS Hospital,NEAR ABHIMAN STUDIO,BESIDE B.G.S.ARCH"
279,3041,"Byatha,BYATHA,BESIDE WATER TANK"
280,3890,Hennur Ring Road
281,4787,KUDLU PANCHAYAT OFFICE
282,2189,"Gerahalli,GERAHALLI,BESIDE OPEN AREA"
283,1725,"Wilson Garden police Station,WILSON GARDEN,BESIDE KITTUR RANI CHANNAMMA PARKLAKKASANDRA"
284,4217,"BN Bache Gowda Badavane,IN FRONT OF GOVT. SCHOOL"
285,3822,"P&T Kadugondanahalli Police Station,K.G.HALLI,IN FRONT OF KHADIMS"
286,4400,"Jn of Gottipura Road,GOTTIPURA,BESIDE ANJANEYA TEMPLE"
287,1322,"Bhakthipura,ANEKAL TALUK,BESIDE OPEN AREA & FIELD"
288,965,Govindapura Cross
289,3728,"Maruthinagar Kodigenahalli Main Road,MARUTHI NAGARA,BESIDE MASHA ALLAH BIKE POINT"
290,1540,Ashraya Nagara
291,658,"Mangammana Palya,MANGAMMANA PALYA,IN FRONT OF MUNIYAPPA COMPLEX"
292,3848,"Museum Kasturba Road,OPPOSITE OF UB TOWER"
293,545,"14th Main HSR Layout,HSR LAYOUT,IN FRONT OF WESTMEAD CLINIC"
294,1241,"Kaggalipura Gate,Kaggalipura,Junction Near Jcc Park"
295,153,"HAL 6th Main,HAL 2ND STAGE,BESIDE BANK OF BARODA"
296,5,"Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS"
297,345,"Tippasandra,INDIRANAGARA,BESIDE SPENCERS SUPER, COLUMBIA ASIA"
298,1752,"Bhima Jyothi Nagara,Shankar Mutt,HDFC Bank"
299,3757,"Budigere,BUDIGERE,BESIDE VEGITABLE SHOP"
300,3083,"Huskur Cross,HUSKURU,BESIDE OPEN AREA"
301,1047,Kanakanagara(Goutam College)
302,1005,COCO COLA
303,763,"North Road,BASAVANAGUDI,BESIDE ADHI BASAVA TEMPLE"
304,2337,Bidadi
305,1059,ITI Calony Gate
306,3237,"Kempalingana Halli,KEMPALINAGANAHALLI,IN FRONT OF PROVISION STORE"
307,2660,"Shivanasandra,IN FRONT OF ASHWATHA KATTE"
308,4533,"Heggondanhalli,GUNJURU,OPPOSITE OF MILK PRODUCT CO-OPERATIVE SOCIETY"
309,999,"Kamalanagar BEML layout,BASAVESHWARANAGARA,IN FRONT OF CANARA BANK ATM"
310,3553,"VIT Cross Devanahalli Road,BESIDE OPEN AREA"
311,1045,"Sulthan Palya,RT NAGARA POST,OPPOSITE OF SHIVA SWEETS & BAKERY"
312,2755,"Bande,BESIDE OPEN AREA"
313,711,Anjananagar Gollarahatti
314,3070,"Kalathammanahalli,KALATHAMANAHALLI,BESIDE ANGANAWADI KENDRA"
315,1721,"AGS Layout,A.G.S. LAYOUT,IN FRONT OF SRI M.VISHWESHWARAIAH PARK"
316,4998,Kanivemadhapura Cross
317,1481,"Rajaji Nagara Ramamandira,RAJAJI NAGARA,OPPOSITE OF SRI RAMA TEMPLE"
318,1174,"B Narayanapura,B.NARAYANA PURA,OPPOSITE OF MORE MEGA STORE"
319,4854,"SRIRAMPURA,HENNAGARA POST,BESIDE HUNASEMARA & RESIDENCE"
320,2010,Nishane
321,4212,"Obalapura,IN FRONT OF NILAGIRI THOPU"
322,2360,"M Gopahalli,M.GOPALHALLI,IN FRONT OF MILK DAIRY"
323,3145,"Papabhovipalya,PAPABOVIPALYA,OPPOSITE OF LAKSHMINARAYANA TEMPLE"
324,1708,"Museum Kasturba Road,IN FORNT OF UB TOWER"
325,4089,"Jn of Soukya Hospital,IN FRONT OF POLICE STATION"
326,1588,MDBlock
327,1065,Medahalli
328,4631,Gear School
329,1541,"Rajkumar Samadhi,RAMAKRISHNA NAGARA, NANDINI LAYOUT,IN FRONT OF RAJKUMAR SAMADHI"
330,4914,"Neraluru Gate,ATTIBELE HOBLI,ANEKAL TALUKU,OPPOSITE OF NERALURU GRAMA PANCHAYAT OFFICE"
331,2470,"Matha Gate,OPPOSITE OF ANJANEYA TEMPLE"
332,2893,NTTF
333,4993,Mahadevana Doddi
334,3597,"Kakkehalli,KAKKE HALLI,IN FRONT OF GOVERNMENT SCHOOL"
335,2223,Byachaguppe Gate
336,2807,"Muddana Palya,IN FRONT OF REVANA SIDDESHWARA PROVISION STORE"
337,1952,"Bannigiri,BANIGIRI,BESIDE OPEN AREA"
338,5017,Hongemara
